provinsi,komoditas,golongan_pengeluaran,konsumsi_perkapita_per_minggu,jumlah_penduduk,persentase_kemiskinan,tingkat_pengangguran,akses_pendidikan,fasilitas_kesehatan,akses_air_bersih,kategori_kemiskinan
Sumatera Barat,Jagung basah degan kulit,200 000- 299 999,3.03,1360,16.48,12.03,sedang,memadai,tidak,sedang
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999,1.75,4272,21.47,13.07,buruk,tidak memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999,4.31,3592,13.87,17.0,buruk,memadai,tidak,tinggi
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999,1.82,966,9.81,8.08,sedang,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999,1.14,4926,25.47,7.35,sedang,memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,> 1 500 000,1.83,3944,14.08,16.53,baik,memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,150 000- 199 999.1,4.78,3671,9.86,15.22,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,200 000- 299 999.1,4.51,3419,14.13,6.84,buruk,memadai,tidak,rendah
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.1,2.84,630,10.36,3.01,buruk,memadai,tidak,rendah
Sumatera Selatan,Jagung basah degan kulit,500 000- 749 999.1,2.22,2185,17.99,14.32,baik,tidak memadai,ya,sedang
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.1,2.26,1269,21.71,5.67,sedang,memadai,tidak,sedang
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.1,1.23,2891,24.99,19.27,sedang,memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,> 1 500 000.1,0.75,2933,10.69,13.27,baik,tidak memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,150 000- 199 999.2,4.32,1684,9.17,17.44,buruk,memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,200 000- 299 999.2,1.57,3885,5.49,16.7,baik,tidak memadai,ya,tinggi
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.2,4.11,4617,10.7,12.48,buruk,tidak memadai,tidak,rendah
Sumatera Barat,Jagung basah degan kulit,500 000- 749 999.2,1.56,3404,5.6,10.45,buruk,tidak memadai,tidak,rendah
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999.2,0.7,974,13.64,11.45,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,1 000 000- 1 499 999.2,0.67,1582,8.64,16.65,buruk,memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.2,3.82,3058,19.5,13.89,baik,memadai,tidak,sedang
Sumatera Utara,Jagung basah degan kulit,150 000- 199 999.3,3.78,2547,14.59,6.5,baik,memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,200 000- 299 999.3,1.45,3247,7.34,13.36,sedang,tidak memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,300 000- 499 999.3,3.29,1475,15.0,9.88,sedang,tidak memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.3,3.6,2306,10.23,4.04,sedang,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999.3,0.98,689,22.0,9.48,sedang,tidak memadai,ya,sedang
Sumatera Utara,Jagung basah degan kulit,1 000 000- 1 499 999.3,3.0,3234,14.11,6.87,baik,tidak memadai,ya,rendah
Sumatera Utara,Jagung basah degan kulit,> 1 500 000.3,2.06,3505,8.68,17.26,buruk,tidak memadai,ya,tinggi
Sumatera Utara,Jagung basah degan kulit,200 000- 299 999.4,1.22,2399,13.74,4.78,buruk,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,300 000- 499 999.4,4.39,1767,10.61,9.13,sedang,memadai,tidak,rendah
Sumatera Utara,Jagung basah degan kulit,500 000- 749 999.4,4.27,2028,24.89,14.82,buruk,tidak memadai,tidak,sedang
Sumatera Barat,Jagung basah degan kulit,750 000- 999 999.4,2.92,3702,29.58,18.26,baik,memadai,ya,tinggi
Sumatera Barat,Jagung basah degan kulit,1 000 000- 1 499 999.4,1.25,4056,5.64,8.7,baik,tidak memadai,tidak,rendah
Sumatera Selatan,Jagung basah degan kulit,> 1 500 000.4,3.8,4390,22.25,13.31,buruk,tidak memadai,tidak,sedang
Sumatera Utara,Jagung basah degan kulit,150 000- 199 999.5,4.79,1146,11.6,9.35,buruk,memadai,ya,rendah
Sumatera Barat,Jagung basah degan kulit,200 000- 299 999.5,3.22,3388,6.66,6.45,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,300 000- 499 999.5,2.56,2935,5.36,8.54,sedang,memadai,ya,rendah
Sumatera Selatan,Jagung basah degan kulit,500 000- 749 999.5,2.09,1100,27.03,13.81,sedang,memadai,tidak,tinggi
Sumatera Selatan,Jagung basah degan kulit,750 000- 999 999.5,2.47,2863,13.84,15.18,sedang,memadai,ya,tinggi
